attribute,setting,seed,post_yield,class,class_label,count,median,q90
load_increment,0.0001,2,False,irreversible,irreversible,221,0.18332023503,0.36945338483
load_increment,0.0001,2,True,reversible_elastic,reversible elastic,0,,
load_increment,0.0001,2,True,reversible_plastic,reversible plastic,463,0.36399477333,0.536561975036
load_increment,0.0001,2,True,irreversible,irreversible,165,0.47234646579,0.576839554912
load_increment,0.0001,3,False,reversible_elastic,reversible elastic,0,,
load_increment,0.0001,3,False,reversible_plastic,reversible plastic,2558,0.233541628805,0.38588449738500014
load_increment,0.0001,3,False,irreversible,irreversible,249,0.24088115832,0.39146625698000004
load_increment,0.0001,3,True,reversible_elastic,reversible elastic,0,,
load_increment,0.0001,3,True,reversible_plastic,reversible plastic,925,0.37676660335,0.475685112608
load_increment,0.0001,3,True,irreversible,irreversible,186,0.411382657345,0.5352819439300001
