load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigmaxy,avg_init_sigmaxy,avg_sigmaxy_change_from_init,avg_Pxy,nr_plastic_deformations,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,nr_red_q1_fixed,nr_red_q2_fixed,nr_red_q3_fixed,nr_red_q4_fixed,max_m3_nr,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
23,0.15022,483.5399271,0.0027594845258,483.53993666,-9.5620664524e-06,0.0038683194168,2.2075876206e-08,0.0038683194933,-7.6496531765e-11,0,0,0.2083986924,4.8490951849e-07,1.1293223345e-06,1.171889318e-06,-4.2566983464e-08,0.012222363417,1,44890,41066,19773,19271,32265,30331,32398,30006,3,3,-1,905,1760,2,0,0,2h 28m 25s,2h 26m 48.967s,1m 33.488s,298d 25m 10s,143.77748094,125.00005135,287.33132795,-0.22367204566,250.95841324,-0.83073411318
24,0.15023,483.54269753,0.0027704300508,483.54270709,-9.5604760304e-06,0.0038683415802,2.2163440406e-08,0.0038683416567,-7.6483808436e-11,0,0,0.20839475623,8.0409039135e-07,1.0657756629e-06,1.1124580362e-06,-4.6682373309e-08,0.012232316279,2,44898,41058,19772,19272,32272,30328,32398,30002,3,3,-1,835,1606,2,0,0,2h 33m 8s,2h 31m 32.564s,1m 33.488s,297d 3h 38m 31s,143.77873094,125.00005135,287.33384846,-0.22365153924,250.95826305,-0.83069653615
25,0.15024,483.5454789,0.0027813688635,483.54548846,-9.5612714404e-06,0.0038683638312,2.2250950908e-08,0.0038683639077,-7.6490171402e-11,0,0,0.20839073704,3.3234547434e-07,1.004313192e-06,1.0489111264e-06,-4.4597934455e-08,0.012242287457,3,44914,41049,19769,19268,32279,30316,32404,30001,3,3,-1,911,1709,2,0,0,2h 38m 10s,2h 36m 34.384s,1m 33.488s,297d 3h 21m 55s,143.77998094,125.00005135,287.33636726,-0.22363273951,250.95811807,-0.83065310217
26,0.15025,483.5482712,0.0027923038625,483.54828079,-9.5860735314e-06,0.0038683861696,2.23384309e-08,0.0038683862463,-7.6688588205e-11,0,0,0.20838679641,5.3156537899e-07,9.389687322e-07,9.8744753302e-07,-4.8478800823e-08,0.012252244011,2,44927,41039,19775,19259,32285,30311,32417,29987,3,3,-1,887,1674,2,0,0,2h 44m 26s,2h 41m 33.527s,2m 49.385s,300d 3h 9m 20s,143.78123094,125.00005135,287.33888634,-0.22361365601,250.95797109,-0.83061894304
27,0.15026,483.55107443,0.0028032296484,483.55108404,-9.6054282039e-06,0.0038684085955,2.2425837187e-08,0.0038684086723,-7.684342572e-11,0,0,0.20838287651,8.3731821978e-07,8.7287819514e-07,9.221013985e-07,-4.9223203367e-08,0.012262175531,1,44946,41025,19775,19254,32292,30301,32429,29978,3,3,-1,884,1693,2,0,0,2h 49m 29s,2h 46m 36.783s,2m 49.385s,300d 1h 22m 35s,143.78248094,125.00005135,287.34140281,-0.22359718536,250.95782246,-0.83058027038
28,0.15027,483.55388858,0.0028141485805,483.55389818,-9.6012590234e-06,0.0038684311086,2.2513188644e-08,0.0038684311855,-7.6810072192e-11,0,0,0.20837897612,9.4441460471e-07,8.0362801504e-07,8.5600855558e-07,-5.238054054e-08,0.0122720881,0,44965,41009,19775,19251,32299,30291,32441,29969,3,3,-1,881,1657,2,0,0,2h 54m 25s,2h 51m 33.005s,2m 49.385s,299d 17h 21m 1s,143.78373094,125.00005135,287.34391794,-0.22358205872,250.95767194,-0.83054455987
29,0.15028,483.55671364,0.0028250593281,483.55672322,-9.584335487e-06,0.0038684537091,2.2600474625e-08,0.0038684537858,-7.6674683963e-11,0,0,0.20837506394,2.0498237168e-06,7.3361541417e-07,7.8675637729e-07,-5.3140963122e-08,0.012282025728,0,44977,40998,19781,19244,32310,30277,32448,29965,3,3,-1,861,1444,2,0,0,2h 58m 47s,2h 55m 54.918s,2m 49.385s,298d 3h 53m 42s,143.78498094,125.00005135,287.34643312,-0.223566876,250.95752516,-0.83051504324
30,0.15029,483.5595496,0.0028359586958,483.55955921,-9.6115542192e-06,0.0038684763968,2.2687669566e-08,0.0038684764737,-7.6892433826e-11,0,0,0.20837123068,9.8315662451e-07,6.5806721942e-07,7.1673968012e-07,-5.8672460698e-08,0.012291925911,1,44993,40986,19785,19236,32320,30267,32458,29955,3,3,-1,903,1714,2,0,0,3h 3m 54s,3h 1m 1.370s,2m 49.385s,298d 6h 39m 2s,143.78623094,125.00005135,287.34894779,-0.22355221055,250.9573768,-0.83049206447
31,0.1503,483.56239645,0.0028468469537,483.56240605,-9.6087741213e-06,0.0038684991716,2.277477563e-08,0.0038684992484,-7.6870192937e-11,0,0,0.2083673551,5.2875173878e-07,5.8331187209e-07,6.4118821745e-07,-5.7876345357e-08,0.012301823708,0,45012,40970,19786,19232,32329,30265,32469,29937,3,3,-1,889,1692,2,0,0,3h 8m 50s,3h 5m 57.349s,2m 49.385s,298d 42m 1s,143.78748094,125.00005135,287.35146136,-0.22353864444,250.95722864,-0.83046594534
32,0.15031,483.56525417,0.0028577220203,483.56526378,-9.6136610637e-06,0.0038685220333,2.2861776162e-08,0.0038685221102,-7.69092884e-11,0,0,0.20836356353,6.8374903982e-07,5.0404241846e-07,5.6642958942e-07,-6.2387170955e-08,0.012311701125,0,45028,40955,19792,19225,32338,30259,32482,29921,3,3,-1,934,1797,2,0,0,3h 14m 11s,3h 11m 18.235s,2m 49.385s,298d 14h 43m 47s,143.78873095,125.00005135,287.35397399,-0.22352601459,250.95708037,-0.83044854158
33,0.15032,483.56812275,0.0028685826489,483.56813236,-9.6128656537e-06,0.003868544982,2.2948661191e-08,0.0038685450589,-7.6902925434e-11,0,0,0.20835977672,4.3413679898e-07,4.2395184948e-07,4.8715762686e-07,-6.3205777378e-08,0.012321594728,0,45036,40947,19792,19225,32352,30253,32476,29919,3,3,-1,1012,1896,2,0,0,3h 19m 41s,3h 16m 47.730s,2m 49.385s,299d 10h 25m 58s,143.78998095,125.00005135,287.356486,-0.22351400413,250.95693379,-0.83043268166
34,0.15033,483.57100218,0.0028794258279,483.57101183,-9.6518147075e-06,0.0038685680174,2.3035406623e-08,0.0038685680946,-7.7214517766e-11,0,0,0.20835604548,6.9118405573e-07,3.3680922927e-07,4.0706539178e-07,-7.0256162507e-08,0.012331435274,3,45046,40936,19797,19221,32366,30246,32477,29911,3,3,-1,995,1913,2,0,0,3h 25m 23s,3h 22m 29.823s,2m 49.385s,300d 14h 9m 49s,143.79123095,125.00005135,287.35899793,-0.22350206614,250.95678538,-0.83042663158
35,0.15034,483.57389243,0.0028902501651,483.57390207,-9.6473168583e-06,0.0038685911394,2.3122001321e-08,0.0038685912166,-7.717853483e-11,0,0,0.20835235062,2.0489373043e-07,2.4812922587e-07,3.1992236914e-07,-7.1793143273e-08,0.012341262117,0,45059,40926,19797,19218,32376,30237,32480,29907,3,3,-1,958,1819,2,0,0,3h 30m 49s,3h 27m 55.601s,2m 49.385s,301d 4h 33m 24s,143.79248095,125.00005135,287.36150875,-0.22349124925,250.95663725,-0.83042085365
36,0.15035,483.57679348,0.0029010532554,483.57680313,-9.6464527246e-06,0.0038686143478,2.3208426043e-08,0.003868614425,-7.7171621957e-11,0,0,0.20834868697,1.1326176888e-06,1.5287039637e-07,2.312419299e-07,-7.8371533525e-08,0.012351082075,2,45066,40913,19806,19215,32385,30226,32487,29902,3,3,-1,924,1769,2,0,0,3h 36m 12s,3h 33m 19.072s,2m 49.385s,301d 16h 29m 30s,143.79373095,125.00005135,287.36402106,-0.22347894255,250.95649049,-0.83043130103
37,0.15036,483.57970531,0.0029118294285,483.57971498,-9.6711613082e-06,0.0038686376425,2.3294635428e-08,0.0038686377198,-7.7369290662e-11,0,0,0.20834504845,1.9071747404e-07,5.6833666865e-08,1.3598241434e-07,-7.914874747e-08,0.012360878482,1,45074,40902,19808,19216,32388,30226,32494,29892,3,3,-1,994,1896,2,0,0,3h 41m 37s,3h 38m 43.758s,2m 49.385s,302d 4h 32m 59s,143.79498095,125.00005135,287.36653031,-0.22346969403,250.95634316,-0.83043576801
38,0.15037,483.58262789,0.002922577239,483.58263758,-9.6951899877e-06,0.0038686610231,2.3380617912e-08,0.0038686611006,-7.7561520141e-11,0,0,0.20834149272,9.9588623034e-07,-4.5217156882e-08,3.994481029e-08,-8.5161967172e-08,0.012370640422,4,45086,40893,19800,19221,32388,30223,32498,29891,3,3,-1,917,1789,2,0,0,3h 48m 16s,3h 44m 2.879s,4m 9.302s,304d 16h 41m 19s,143.79623095,125.00005135,287.36904026,-0.2234597408,250.95619594,-0.83045000918
39,0.15038,483.58556118,0.0029332893793,483.58557089,-9.7123123624e-06,0.0038686844894,2.3466315034e-08,0.0038686845671,-7.769849911e-11,0,0,0.20833803104,3.9319614621e-07,-1.5332390805e-07,-6.2104219291e-08,-9.1219688754e-08,0.012380365308,2,45099,40883,19800,19218,32397,30211,32502,29890,3,3,-1,1017,1911,2,0,0,3h 53m 57s,3h 49m 43.900s,4m 9.302s,305d 12h 33m 54s,143.79748095,125.00005135,287.37154852,-0.22345147982,250.9560471,-0.83047295576
40,0.15039,483.58850514,0.0029439609012,483.58851487,-9.7321947123e-06,0.0038687080411,2.355168721e-08,0.0038687081189,-7.7857558074e-11,0,0,0.20833465245,8.8048645351e-07,-2.7080457576e-07,-1.7020829467e-07,-1.0059628108e-07,0.012390051916,2,45109,40875,19800,19216,32402,30210,32507,29881,3,3,-1,935,1785,2,0,0,3h 59m 16s,3h 55m 2.055s,4m 9.302s,305d 17h 10m 51s,143.79873095,125.00005135,287.37405833,-0.22344166748,250.95589923,-0.83051282876
41,0.1504,483.59145972,0.0029545790234,483.59146948,-9.7602371625e-06,0.0038687316777,2.3636632187e-08,0.0038687317558,-7.8081897285e-11,0,0,0.2083313689,5.1026559575e-07,-3.8984422564e-07,-2.8768425282e-07,-1.0215997282e-07,0.012399687825,1,45121,40866,19802,19211,32417,30198,32506,29879,3,3,-1,1078,2021,2,0,0,4h 5m 17s,4h 1m 3.058s,4m 9.302s,306d 23h 28m 24s,143.79998095,125.00005135,287.37656491,-0.22343508677,250.95574959,-0.83054365461
42,0.15041,483.59442485,0.0029651353899,483.59443464,-9.7849358554e-06,0.0038687553988,2.3721083119e-08,0.0038687554771,-7.8279487059e-11,0,0,0.2083283073,8.0221722817e-07,-5.2950830033e-07,-4.0671814323e-07,-1.227901571e-07,0.012409256296,1,45138,40861,19795,19206,32423,30190,32510,29877,3,3,-1,847,1655,2,0,0,4h 10m 5s,4h 5m 51.723s,4m 9.302s,306d 9h 35m 18s,143.80123095,125.00005135,287.37907654,-0.22342345824,250.95560194,-0.83061803671
43,0.15042,483.59740045,0.0029755959352,483.59741028,-9.8338118164e-06,0.0038687792036,2.3804767482e-08,0.0038687792822,-7.8670494598e-11,0,0,0.20832516059,8.5582344264e-07,-6.6613709269e-07,-5.4637260096e-07,-1.1976449173e-07,0.01241876865,0,45143,40858,19797,19202,32424,30187,32516,29873,3,3,-1,1006,1916,2,0,0,4h 15m 49s,4h 11m 34.926s,4m 9.302s,307d 3h 44m 55s,143.80248095,125.00005135,287.38158176,-0.22341824428,250.95545267,-0.8306666076
44,0.15043,483.60038638,0.0029859294505,483.6003963,-9.9249111258e-06,0.003868803091,2.3887435604e-08,0.0038688031704,-7.9399288793e-11,0,0,0.20832239474,3.8711065423e-07,-8.2133064472e-07,-6.8298911583e-07,-1.3834152889e-07,0.012428114233,0,45153,40847,19802,19198,32429,30181,32526,29864,3,3,-1,1142,1940,2,0,0,4h 21m 30s,4h 17m 16.372s,4m 9.302s,307d 20h 3m 20s,143.80373095,125.00005135,287.38408845,-0.22341154794,250.95530014,-0.83073669276
45,0.15044,483.60338239,0.0029960165607,483.60339244,-1.0048013053e-05,0.0038688270591,2.3968132485e-08,0.0038688271395,-8.0384104754e-11,0,0,0.20832015186,1.2383449784e-06,-1.0014375691e-06,-8.381637306e-07,-1.6327383848e-07,0.012437221815,0,45149,40849,19808,19194,32426,30186,32531,29857,3,3,-1,1074,2056,2,0,0,4h 27m 35s,4h 23m 20.860s,4m 9.302s,309d 16m 8s,143.80498095,125.00005135,287.38659397,-0.22340603026,250.95514604,-0.83081864313
46,0.15045,483.60593124,0.0025488459937,483.60639834,-0.00046709914335,0.0038688474499,2.039076795e-08,0.0038688511867,-3.7367931466e-09,0,0,0.20835350288,6.6171456695e-07,-1.7417275084e-06,-1.0182436603e-06,-7.2348384815e-07,0.012426451935,11,45134,40878,19806,19182,32406,30188,32534,29872,3,3,-1,2239,3995,2,0,0,4h 39m 30s,4h 35m 16.018s,4m 9.302s,317d 23h 15m 23s,143.80623095,125.00005135,287.38875513,-0.2237448744,250.95464018,-0.82820694024
47,0.15046,483.60891849,0.0029872564128,483.60892817,-9.6788639325e-06,0.003868871348,2.3898051302e-08,0.0038688714254,-7.7430911509e-11,0,0,0.20835089868,8.531841493e-07,-1.8371870046e-06,-1.7577666298e-06,-7.9420374758e-08,0.012436109017,1,45148,40870,19805,19177,32408,30178,32545,29869,3,3,-1,924,1743,2,0,0,4h 44m 39s,4h 40m 25.131s,4m 9.302s,317d 15h 44m 31s,143.80748095,125.00005135,287.39125816,-0.22374184181,250.95449499,-0.82825401005
48,0.15047,483.61191642,0.0029979236284,483.61192617,-9.7473067058e-06,0.0038688953313,2.3983389027e-08,0.0038688954093,-7.7978453555e-11,0,0,0.20834860908,8.6358308578e-07,-1.9319450167e-06,-1.8532220711e-06,-7.8722945558e-08,0.012445652018,0,45162,40854,19806,19178,32421,30165,32547,29867,3,3,-1,1006,1963,2,0,0,4h 51m 50s,4h 46m 13.998s,5m 30.484s,319d 22h 35m 21s,143.80873095,125.00005135,287.39375118,-0.22374882063,250.95434492,-0.82829429885
49,0.15048,483.61492495,0.0030085268174,483.61493471,-9.7638550756e-06,0.0038689193996,2.4068214539e-08,0.0038689194777,-7.8110840712e-11,0,0,0.20834661129,7.9818007051e-07,-2.0288109448e-06,-1.9479760828e-06,-8.0834861975e-08,0.012455148076,1,45173,40848,19804,19175,32425,30162,32552,29861,3,3,-1,1021,1934,2,0,0,4h 57m 34s,4h 51m 58.218s,5m 30.484s,320d 8h 24s,143.80998095,125.00005135,287.39624462,-0.22375537867,250.95419908,-0.82834566017
50,0.15049,483.61794398,0.0030190314185,483.61795382,-9.8442189937e-06,0.0038689435518,2.4152251348e-08,0.0038689436306,-7.8753752217e-11,0,0,0.20834508245,9.1814256889e-07,-2.1348602714e-06,-2.0448371498e-06,-9.0023121569e-08,0.01246448867,0,45188,40834,19805,19173,32431,30153,32562,29854,3,3,-1,903,1704,2,0,0,5h 2m 39s,4h 57m 3.058s,5m 30.484s,319d 21h 39m 55s,143.81123095,125.00005135,287.39873762,-0.22376238094,250.9540521,-0.82842008799
