load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigma11,avg_sigma12,avg_sigma22,avg_init_sigma11,avg_init_sigma12,avg_init_sigma22,avg_sigma12_change_from_init,avg_P11,avg_P12,avg_P21,avg_P22,avg_init_P11,avg_init_P12,avg_init_P21,avg_init_P22,participationFraction,m3_participationFraction,nr_elements_with_m3_fix_change,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,nr_red_q1_fixed,nr_red_q2_fixed,nr_red_q3_fixed,nr_red_q4_fixed,max_m3_nr,sum_m3,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,nr_edge_flips,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
22,0.15021,461.39014057,-0.00013439608017,461.39014954,-8.970581348e-06,0.0036911211245,-1.0751686416e-09,0.0036911211963,-7.1764651079e-11,0,0,0.19428308215,4.7649174653e-07,0,9.4549635817e-05,0,0,9.4483765932e-05,0,6.5869884451e-08,0,0.011047335183,0,0,0,0,0,0,0,0,0,40708,46112,17825,20355,29129,33345,29404,33122,3,0,3,-1,740,1438,0,2,0,0,4h 12m 25s,4h 9m 42.126s,2m 38.357s,532d 23h 45m 49s,143.77637884,124.99985137,287.45424151,-0.098258490142,250.82210117,-1.0031124452
23,0.15022,461.39001861,-0.00012196056161,461.39002756,-8.9515086756e-06,0.0036911201489,-9.7568449283e-10,0.0036911202205,-7.1612069573e-11,0,0,0.19428859652,9.6015459193e-07,0,9.4579391243e-05,0,0,9.4516041076e-05,0,6.3350166465e-08,0,0.011058598716,0,0,0,0,0,0,0,0,2,40733,46094,17827,20346,29145,33330,29415,33110,3,0,3,-1,665,1218,0,2,0,0,4h 19m 54s,4h 17m 10.371s,2m 38.357s,528d 14h 35m 57s,143.77762884,124.99985137,287.4567821,-0.098217902955,250.82216956,-1.0030871458
24,0.15023,461.38990907,-0.00010953533535,461.38991803,-8.9577965809e-06,0.0036911192726,-8.762826827e-10,0.0036911193442,-7.1662372651e-11,0,0,0.19429439949,1.7604648788e-06,0,9.4608133579e-05,0,0,9.4545818152e-05,0,6.23154267e-08,0,0.011069849754,0,0,0,0,0,0,0,0,0,40747,46087,17830,20336,29155,33327,29422,33096,3,0,3,-1,890,1692,0,2,0,0,4h 31m 25s,4h 27m 29.471s,3m 49.958s,535d 11h 7m 19s,143.77887884,124.99985137,287.45931397,-0.098186029289,250.8222333,-1.0030688158
25,0.15024,461.38981197,-9.7102911468e-05,461.38982091,-8.9405055519e-06,0.0036911184958,-7.7682329189e-10,0.0036911185673,-7.15240445e-11,0,0,0.19430006591,2.3220170868e-06,0,9.4639884343e-05,0,0,9.4574582994e-05,0,6.5301348967e-08,0,0.011081129178,0,0,0,0,0,0,0,0,1,40747,46087,17839,20327,29165,33321,29421,33093,3,0,3,-1,713,1368,0,2,0,0,4h 39m 12s,4h 35m 16.913s,3m 49.958s,532d 4h 10m 30s,143.78012883,124.99985137,287.46185071,-0.098149291464,250.82230658,-1.0030482619
26,0.15025,461.38972729,-8.4678222493e-05,461.38973626,-8.9677486699e-06,0.0036911178183,-6.7742577997e-10,0.0036911178901,-7.1741989519e-11,0,0,0.19430562141,9.7407591198e-07,0,9.4667334254e-05,0,0,9.4606354771e-05,0,6.0979483525e-08,0,0.011092375319,0,0,0,0,0,0,0,0,3,40759,46079,17840,20322,29173,33317,29426,33084,3,0,3,-1,792,1332,0,2,0,0,4h 47m 16s,4h 43m 20.275s,3m 49.958s,529d 19h 28m 30s,143.78137883,124.99985137,287.4643891,-0.098110898197,250.82237073,-1.0030249486
27,0.15026,461.38965504,-7.2253832968e-05,461.389664,-8.9575728452e-06,0.0036911172403,-5.780306637e-10,0.003691117312,-7.166058285e-11,0,0,0.19431124921,5.6637060555e-07,0,9.4696658992e-05,0,0,9.4633826095e-05,0,6.2832897016e-08,0,0.011103607782,0,0,0,0,0,0,0,0,0,40777,46063,17842,20318,29184,33306,29435,33075,3,0,3,-1,815,1347,0,2,0,0,4h 55m 46s,4h 51m 49.997s,3m 49.958s,528d 16h 14m 38s,143.78262883,124.99985137,287.4669224,-0.098077599672,250.82243977,-1.0030055288
28,0.15027,461.38959521,-5.9830896475e-05,461.38960413,-8.9272006676e-06,0.0036911167617,-4.7864717181e-10,0.0036911168331,-7.1417605337e-11,0,0,0.19431690277,7.5731462198e-07,0,9.4724796505e-05,0,0,9.4663173648e-05,0,6.1622857154e-08,0,0.011114881069,0,0,0,0,0,0,0,0,3,40790,46055,17841,20314,29190,33303,29441,33066,3,0,3,-1,835,1341,0,2,0,0,5h 4m 17s,5h 21.223s,3m 49.958s,527d 16h 25m 10s,143.78387883,124.99985137,287.46946114,-0.098038864303,250.82250505,-1.0029821257
29,0.15028,461.3895478,-4.7411099558e-05,461.38955675,-8.9574501771e-06,0.0036911163824,-3.7928879655e-10,0.003691116454,-7.165960143e-11,0,0,0.19432253388,9.2671239438e-07,0,9.4752909586e-05,0,0,9.4691334042e-05,0,6.1575544432e-08,0,0.011126120803,0,0,0,0,0,0,0,0,0,40803,46046,17838,20313,29192,33303,29449,33056,3,0,3,-1,845,1404,0,2,0,0,5h 12m 44s,5h 8m 47.084s,3m 49.958s,526d 13h 39m 10s,143.78512883,124.99985137,287.47199824,-0.098001762921,250.82257378,-1.002960406
30,0.15029,461.3895128,-3.4993850875e-05,461.38952175,-8.9457608965e-06,0.0036911161024,-2.7995080689e-10,0.003691116174,-7.1566087258e-11,0,0,0.19432813726,2.5805830293e-07,0,9.4781577359e-05,0,0,9.4719469805e-05,0,6.2107554278e-08,0,0.011137370292,0,0,0,0,0,0,0,0,0,40817,46034,17839,20310,29199,33294,29457,33050,3,0,3,-1,914,1712,0,2,0,0,5h 22m 44s,5h 18m 47.717s,3m 49.958s,528d 20h 42m 5s,143.78637883,124.99985137,287.47453231,-0.097967687077,250.8226411,-1.0029403271
31,0.1503,461.38949022,-2.257730921e-05,461.38949917,-8.9460048684e-06,0.0036911159218,-1.8061847374e-10,0.0036911159934,-7.1568039255e-11,0,0,0.19433375597,9.7796581706e-07,0,9.4810530095e-05,0,0,9.4748160645e-05,0,6.2369450224e-08,0,0.011148634341,0,0,0,0,0,0,0,0,2,40838,46017,17833,20312,29210,33291,29461,33038,3,0,3,-1,760,1435,0,2,0,0,5h 32m 45s,5h 27m 29.809s,5m 8.139s,530d 23h 39m 14s,143.78762883,124.99985137,287.47707064,-0.09792936017,250.82270973,-1.0029189744
