feature,feature_label,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,benchmark_best_orientation,lower_balanced_accuracy,higher_balanced_accuracy,best_balanced_accuracy,lower_agreement_fraction,higher_agreement_fraction,best_agreement_fraction,status,setting,setting_attribute,sample_count,forward_only_pool_count,scorable_count,reference_reversible_count,reference_irreversible_count,discarded_island_count,unlabeled_forward_count
sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,0.6954108293393844,1186094,1032288,1.1557648975091261e-06,lower,0.7092885531570149,0.2907114468429851,0.7092885531570149,0.4674335983759093,0.5325664016240906,0.4674335983759093,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,5.091509050167785e-19,1102154,1116228,1.666005747580357e-06,lower,0.6918910197307764,0.3081089802692237,0.6918910197307764,0.43465572661140245,0.5653442733885975,0.43465572661140245,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er,abs(Delta E_R)/V0,7.335323459746559e-13,1043939,1174443,8.413692302866593e-07,lower,0.6824866310160428,0.3175133689839572,0.6824866310160428,0.41739976315344274,0.5826002368465573,0.41739976315344274,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er_over_dg,abs(Delta E_R)/(V0 Delta gamma),7.335323459746559e-07,1043939,1174443,8.413692302866593e-07,lower,0.6824866310160428,0.3175133689839572,0.6824866310160428,0.41739976315344274,0.5826002368465573,0.41739976315344274,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),0.7335323459746559,1043939,1174443,8.413692302589038e-07,lower,0.6824866310160428,0.3175133689839572,0.6824866310160428,0.41739976315344274,0.5826002368465573,0.41739976315344274,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
ei_over_es,abs(Delta E_I)/Delta E_S,22.877349765696334,1525487,692895,2.1202190418900813e-06,higher,0.33560825854058157,0.6643917414594185,0.6643917414594185,0.6081035357807477,0.3918964642192522,0.3918964642192522,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
sigma_i,abs(Delta sigma_I),1.2943474999955651e-06,355871,1862511,1.0065981292939341e-06,lower,0.6367194466948607,0.3632805533051393,0.6367194466948607,0.3355608188123837,0.6644391811876164,0.3355608188123837,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,1.2943474999955653,355871,1862511,1.0065981295159787e-06,lower,0.6367194466948607,0.3632805533051393,0.6367194466948607,0.3355608188123837,0.6644391811876164,0.3355608188123837,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,3.285405175288442e-09,517848,1700534,1.003504808139155e-06,lower,0.6334463506225759,0.366553649377424,0.6334463506225759,0.32955506682456437,0.6704449331754356,0.32955506682456437,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,6.491693769447906e-15,470085,1748297,2.890347893469425e-06,lower,0.6332031923078085,0.3667968076921915,0.6332031923078085,0.3273980713923194,0.6726019286076806,0.3273980713923194,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
es,Delta E_S/V0,3.274314294494094e-09,516435,1701947,4.771578559825684e-06,lower,0.6318198633325574,0.3681801366674426,0.6318198633325574,0.3287091862628997,0.6712908137371003,0.3287091862628997,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
es_over_dg,Delta E_S/(V0 Delta gamma),0.0032743142944940944,516435,1701947,4.771578558493417e-06,lower,0.6318198633325574,0.3681801366674426,0.6318198633325574,0.3287091862628997,0.6712908137371003,0.3287091862628997,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
es_over_dg2,Delta E_S/(V0 Delta gamma^2),3274.3142944940946,516435,1701947,4.771578558493417e-06,lower,0.6318198633325574,0.3681801366674426,0.6318198633325574,0.3287091862628997,0.6712908137371003,0.3287091862628997,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
ei_sigma_i,abs(Delta E_I) abs(Delta sigma_I)/V0,8.590312992527014e-14,481208,1737174,1.6346020448310128e-06,lower,0.6314384051837498,0.3685615948162501,0.6314384051837498,0.3262984266621553,0.6737015733378448,0.3262984266621553,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er_plus_ei,(abs(Delta E_R)+abs(Delta E_I))/V0,6.161556230553537e-08,561052,1657330,1.5430625905921147e-06,lower,0.6226784237899898,0.37732157621001017,0.6226784237899898,0.3217729656572492,0.6782270343427508,0.3217729656572492,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,1.3692524107356827e-18,566410,1651972,2.143474763016684e-06,lower,0.6100636179236585,0.3899363820763415,0.6100636179236585,0.2845119269159195,0.7154880730840806,0.2845119269159195,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
ei,abs(Delta E_I)/V0,6.156447824177867e-08,560734,1657648,2.3291051034490806e-06,lower,0.5952245369600638,0.40477546303993617,0.5952245369600638,0.3171629165961766,0.6828370834038234,0.3171629165961766,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
ei_over_dg,abs(Delta E_I)/(V0 Delta gamma),0.06156447824177867,560734,1657648,2.3291051041152144e-06,lower,0.5952245369600638,0.40477546303993617,0.5952245369600638,0.3171629165961766,0.6828370834038234,0.3171629165961766,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
ei_over_dg2,abs(Delta E_I)/(V0 Delta gamma^2),61564.47824177867,560734,1657648,2.3291051034490806e-06,lower,0.5952245369600638,0.40477546303993617,0.5952245369600638,0.3171629165961766,0.6828370834038234,0.3171629165961766,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
sigma_s,abs(Delta sigma_S),8.806784518064978e-07,48049,2170333,2.931864324207112e-05,lower,0.5190314836171377,0.4809685163828623,0.5190314836171377,0.11876163085772289,0.8812383691422772,0.11876163085772289,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,0.8806784518064978,48049,2170333,2.9318643241661724e-05,lower,0.5190314836171377,0.4809685163828623,0.5190314836171377,0.11876163085772289,0.8812383691422772,0.11876163085772289,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er_minus_ei,abs(abs(Delta E_R)-abs(Delta E_I))/V0,6.12658845639743e-08,558520,1659862,1.1479042445472487e-06,lower,0.5166154875409231,0.4833845124590769,0.5166154875409231,0.30337506344104215,0.6966249365589579,0.30337506344104215,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
sigma_i_over_sigma_s,abs(Delta sigma_I)/abs(Delta sigma_S),1.445893486363819,2174014,44368,2.5330615333052364e-06,higher,0.4861164537504194,0.5138835462495805,0.5138835462495805,0.8894011165623414,0.1105988834376586,0.1105988834376586,ok,1e-06,load_increment,4,2218382,23644,21692,1952,0,2194738
er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,3.5930689949950935e-16,475206,9699,5.928062902782472e-06,lower,0.9859711046602968,0.01402889533970326,0.9859711046602968,0.9745023395986994,0.025497660401300658,0.9745023395986994,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
er,abs(Delta E_R)/V0,3.707451017631221e-11,475206,9699,4.094263846710078e-05,lower,0.9827822805437626,0.0172177194562374,0.9827822805437626,0.9681576651598065,0.03184233484019351,0.9681576651598065,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
er_over_dg,abs(Delta E_R)/(V0 Delta gamma),7.414902035262441e-06,475206,9699,4.0942638467988957e-05,lower,0.9827822805437626,0.0172177194562374,0.9827822805437626,0.9681576651598065,0.03184233484019351,0.9681576651598065,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),1.4829804070524881,475206,9699,4.094263846760038e-05,lower,0.9827822805437626,0.0172177194562374,0.9827822805437626,0.9681576651598065,0.03184233484019351,0.9681576651598065,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,2.672291322071552e-16,475206,9699,2.5336819716059722e-05,lower,0.9826536300870534,0.017346369912946524,0.9826536300870534,0.967919739868348,0.032080260131651994,0.967919739868348,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),0.47367129356210574,414767,70138,1.1892523028800284e-05,lower,0.8865166801515921,0.1134833198484079,0.8865166801515921,0.7959394083591086,0.20406059164089144,0.7959394083591086,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
er_over_es,abs(Delta E_R)/Delta E_S,0.0007732286347481373,380657,104248,1.193555716705319e-05,lower,0.8730863244564518,0.12691367554354818,0.8730863244564518,0.7652866999762075,0.23471330002379254,0.7652866999762075,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
er_over_ei,abs(Delta E_R)/abs(Delta E_I),6.6096814865204e-05,357612,127293,2.764462152615721e-05,lower,0.8614648998670612,0.1385351001329388,0.8614648998670612,0.7437941153144579,0.25620588468554206,0.7437941153144579,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),6.527762747422054e-05,356396,128509,1.531095626017276e-05,lower,0.8602641622711094,0.13973583772889062,0.8602641622711094,0.7415734792608454,0.25842652073915456,0.7415734792608454,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
es_over_sigma_s2,Delta E_S/(V0 abs(Delta sigma_S)^2),203.71889422702912,121538,363367,9.439592336235592e-06,higher,0.16877161576640817,0.8312283842335918,0.8312283842335918,0.23027202791656753,0.7697279720834325,0.7697279720834325,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
sigma_s2_over_es,abs(Delta sigma_S)^2/(Delta E_S/V0),0.004908724857330005,363367,121538,9.439592336235592e-06,lower,0.8312283842335918,0.16877161576640817,0.8312283842335918,0.7697279720834325,0.23027202791656753,0.7697279720834325,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
sigma_r_over_sigma_i,abs(Delta sigma_R)/abs(Delta sigma_I),0.5644814018891778,352459,132446,2.9846245190590093e-06,lower,0.8002291116269324,0.19977088837306764,0.8002291116269324,0.6368070425886272,0.3631929574113728,0.6368070425886272,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
sigma_r_fraction,abs(Delta sigma_R)/(abs(Delta sigma_R)+abs(Delta sigma_I)),0.3417593350807482,332280,152625,1.6685012744210859e-06,lower,0.7803371698809973,0.21966283011900267,0.7803371698809973,0.5995717344753747,0.4004282655246253,0.5995717344753747,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
sigma_r,abs(Delta sigma_R),4.002831785823913e-06,316914,167991,3.1358724648100633e-06,lower,0.7712484114310707,0.2287515885689293,0.7712484114310707,0.58097390752637,0.41902609247362993,0.58097390752637,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,0.8005663571647825,316914,167991,3.1358724655039527e-06,lower,0.7712484114310707,0.2287515885689293,0.7712484114310707,0.58097390752637,0.41902609247362993,0.58097390752637,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
sigma_i,abs(Delta sigma_I),7.502654999976259e-06,183369,301536,1.7365633278032533e-06,lower,0.7511687782210427,0.2488312217789574,0.7511687782210427,0.5509953208026013,0.44900467919739867,0.5509953208026013,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,1.5005309999952516,183369,301536,1.7365633279420312e-06,lower,0.7511687782210427,0.2488312217789574,0.7511687782210427,0.5509953208026013,0.44900467919739867,0.5509953208026013,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),1.2434786841949292,175520,309385,7.202799735261944e-07,lower,0.7218753944112046,0.2781246055887953,0.7218753944112046,0.5147117138551828,0.48528828614481717,0.5147117138551828,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),0.8041955304183074,309385,175520,7.202799734429277e-07,higher,0.2781246055887953,0.7218753944112046,0.7218753944112046,0.48528828614481717,0.5147117138551828,0.5147117138551828,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
ei_sigma_i,abs(Delta E_I) abs(Delta sigma_I)/V0,2.492228601427439e-12,130710,354195,4.306323521774402e-06,lower,0.6472501015688242,0.35274989843117577,0.6472501015688242,0.35970338646998173,0.6402966135300182,0.35970338646998173,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
er_plus_ei,(abs(Delta E_R)+abs(Delta E_I))/V0,3.3616641771197095e-07,142519,342386,2.667714207760241e-06,lower,0.6310232751642224,0.3689767248357776,0.6310232751642224,0.34534856055198665,0.6546514394480133,0.34534856055198665,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,2.4251903393462094e-08,91995,392910,8.62106780807892e-06,lower,0.6053347462527252,0.39466525374727485,0.6053347462527252,0.27234515028947576,0.7276548497105242,0.27234515028947576,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
ei_over_es,abs(Delta E_I)/Delta E_S,17.778227055476293,383437,101468,1.8267403855798392e-05,higher,0.3994440186581778,0.6005559813418222,0.6005559813418222,0.7270996906971211,0.2729003093028789,0.2729003093028789,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
es,Delta E_S/V0,2.3946187964292835e-08,90722,394183,7.355538683029295e-06,lower,0.6002548823661278,0.39974511763387216,0.6002548823661278,0.2692124672852724,0.7307875327147276,0.2692124672852724,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
es_over_dg,Delta E_S/(V0 Delta gamma),0.004789237592858567,90722,394183,7.355538683029295e-06,lower,0.6002548823661278,0.39974511763387216,0.6002548823661278,0.2692124672852724,0.7307875327147276,0.2692124672852724,ok,5e-06,load_increment,4,484905,25218,23319,1899,0,459687
