feature,feature_label,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,benchmark_best_orientation,lower_balanced_accuracy,higher_balanced_accuracy,best_balanced_accuracy,lower_agreement_fraction,higher_agreement_fraction,best_agreement_fraction,status,setting,setting_attribute,sample_count,forward_only_pool_count,scorable_count,reference_reversible_count,reference_irreversible_count,discarded_island_count,unlabeled_forward_count
ei_sigma_i,abs(Delta E_I) abs(Delta sigma_I)/V0,8.658909186740583e-12,44654,188452,2.424351929164459e-05,lower,0.6004941058213588,0.39950589417864124,0.6004941058213588,0.2843216170288883,0.7156783829711117,0.2843216170288883,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
sigma_i_over_sigma_s,abs(Delta sigma_I)/abs(Delta sigma_S),1.044843611028815,228443,4663,1.9374828403813382e-05,lower,0.5730158045961036,0.42698419540389637,0.5730158045961036,0.9044808156694393,0.09551918433056077,0.9044808156694393,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
ei,abs(Delta E_I)/V0,6.752649870286583e-07,66360,166746,1.5415024916087816e-05,lower,0.5650956648683723,0.43490433513162774,0.5650956648683723,0.33784992397817726,0.6621500760218227,0.33784992397817726,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
ei_over_dg,abs(Delta E_I)/(V0 Delta gamma),0.06752649870286583,66360,166746,1.5415024916087816e-05,lower,0.5650956648683723,0.43490433513162774,0.5650956648683723,0.33784992397817726,0.6621500760218227,0.33784992397817726,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
ei_over_dg2,abs(Delta E_I)/(V0 Delta gamma^2),6752.649870286581,66360,166746,1.5415024916087816e-05,lower,0.5650956648683723,0.43490433513162774,0.5650956648683723,0.33784992397817726,0.6621500760218227,0.33784992397817726,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
sigma_s,abs(Delta sigma_S),1.535559695067546e-05,11015,222091,3.8863276522249635e-05,lower,0.5304631877484469,0.4695368122515531,0.5304631877484469,0.15477148734460244,0.8452285126553976,0.15477148734460244,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,1.5355596950675459,11015,222091,3.886327652188881e-05,lower,0.5304631877484469,0.4695368122515531,0.5304631877484469,0.15477148734460244,0.8452285126553976,0.15477148734460244,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
er_minus_ei,abs(abs(Delta E_R)-abs(Delta E_I))/V0,6.516049189938557e-07,63795,169311,9.183576601401455e-06,higher,0.4958835245749822,0.5041164754250178,0.5041164754250178,0.31714515696270457,0.6828548430372954,0.6828548430372954,ok,1e-07,eps_x,4,233106,22362,20473,1889,0,210744
er,abs(Delta E_R)/V0,1.4352517251264557e-10,249018,5083,1.84430218723719e-05,lower,0.9882293969490861,0.011770603050914015,0.9882293969490861,0.9785558971282897,0.02144410287171028,0.9785558971282897,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
er_over_dg,abs(Delta E_R)/(V0 Delta gamma),1.4352517251264557e-05,249018,5083,1.84430218723719e-05,lower,0.9882293969490861,0.011770603050914015,0.9882293969490861,0.9785558971282897,0.02144410287171028,0.9785558971282897,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),1.4352517251264556,249018,5083,1.844302187206659e-05,lower,0.9882293969490861,0.011770603050914015,0.9882293969490861,0.9785558971282897,0.02144410287171028,0.9785558971282897,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,3.109587074172015e-15,249018,5083,5.390797401361169e-06,lower,0.9881716356228964,0.011828364377103603,0.9881716356228964,0.9793806703156632,0.020619329684336808,0.9793806703156632,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,2.0539764291965548e-15,249018,5083,2.2335174149290538e-05,lower,0.9879071541391287,0.012092845860871318,0.9879071541391287,0.9779560620829272,0.022043937917072806,0.9779560620829272,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_i,abs(Delta sigma_I),2.047792699999268e-05,249018,5083,8.483170539363982e-07,lower,0.9852816947949068,0.01471830520509325,0.9852816947949068,0.9917147784359301,0.00828522156406988,0.9917147784359301,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,2.047792699999268,249018,5083,8.48317053103731e-07,lower,0.9852816947949068,0.01471830520509325,0.9852816947949068,0.9917147784359301,0.00828522156406988,0.9917147784359301,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_r,abs(Delta sigma_R),1.4426732911998488e-05,249018,5083,3.977268256960542e-07,lower,0.9826805823945919,0.0173194176054081,0.9826805823945919,0.9752193146884607,0.024780685311539326,0.9752193146884607,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,1.4426732911998488,249018,5083,3.9772682633443246e-07,lower,0.9826805823945919,0.0173194176054081,0.9826805823945919,0.9752193146884607,0.024780685311539326,0.9752193146884607,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
er_over_ei,abs(Delta E_R)/abs(Delta E_I),0.0002216107787342055,221486,32615,4.8565773334896534e-05,lower,0.9345558289155728,0.06544417108442727,0.9345558289155728,0.8786458723850941,0.1213541276149059,0.8786458723850941,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),0.00020833893824748824,219626,34475,9.298894514842004e-05,lower,0.9309305973035531,0.06906940269644692,0.9309305973035531,0.8718977281247657,0.12810227187523432,0.8718977281247657,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),0.6415448061509929,224423,29678,4.929847109852448e-05,lower,0.9118696212217118,0.08813037877828823,0.9118696212217118,0.8476044087875834,0.15239559121241658,0.8476044087875834,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
er_over_es,abs(Delta E_R)/Delta E_S,0.0013940680880540756,205220,48881,4.212558754090878e-05,lower,0.9101170553982123,0.08988294460178775,0.9101170553982123,0.8336207542925695,0.16637924570743046,0.8336207542925695,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),1.1881559291359813,109925,144176,2.5258388209048466e-06,lower,0.760478558472597,0.239521441527403,0.760478558472597,0.59143735472745,0.40856264527255004,0.59143735472745,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),0.841640373521675,144176,109925,2.52583882082158e-06,higher,0.239521441527403,0.760478558472597,0.760478558472597,0.40856264527255004,0.59143735472745,0.59143735472745,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_r_over_sigma_i,abs(Delta sigma_R)/abs(Delta sigma_I),0.5346114286595379,148706,105395,1.6483712185211274e-06,lower,0.7227138546622153,0.27728614533778473,0.7227138546622153,0.4922396341006223,0.5077603658993777,0.4922396341006223,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_r_fraction,abs(Delta sigma_R)/(abs(Delta sigma_R)+abs(Delta sigma_I)),0.3322007135737094,136175,117926,4.2249740665467606e-06,lower,0.6975963964604905,0.30240360353950946,0.6975963964604905,0.44455274799430156,0.5554472520056984,0.44455274799430156,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,1.8110094641335543e-12,81536,172565,8.393120053185044e-06,lower,0.6599475640501178,0.3400524359498822,0.6599475640501178,0.3791332383594512,0.6208667616405489,0.3791332383594512,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
ei_over_es,abs(Delta E_I)/Delta E_S,9.931880691423402,158048,96053,1.1427632895189e-05,higher,0.3460960144074621,0.6539039855925379,0.6539039855925379,0.6255904626227787,0.37440953737722127,0.37440953737722127,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,7.865299309351351e-08,73709,180392,1.2734631084754255e-05,lower,0.6248561633994245,0.37514383660057554,0.6248561633994245,0.3077528679613106,0.6922471320386894,0.3077528679613106,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
es,Delta E_S/V0,7.711293167740922e-08,71962,182139,6.51636987658577e-06,lower,0.6156524736843758,0.38434752631562424,0.6156524736843758,0.30134213091399864,0.6986578690860014,0.30134213091399864,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
es_over_dg,Delta E_S/(V0 Delta gamma),0.007711293167740922,71962,182139,6.516369876141681e-06,lower,0.6156524736843758,0.38434752631562424,0.6156524736843758,0.30134213091399864,0.6986578690860014,0.30134213091399864,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
es_over_dg2,Delta E_S/(V0 Delta gamma^2),771.1293167740921,71962,182139,6.516369876141681e-06,lower,0.6156524736843758,0.38434752631562424,0.6156524736843758,0.30134213091399864,0.6986578690860014,0.30134213091399864,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
er_plus_ei,(abs(Delta E_R)+abs(Delta E_I))/V0,6.098015873264938e-07,55591,198510,2.4802143300917123e-05,lower,0.5788780169721521,0.42112198302784787,0.5788780169721521,0.251068456174552,0.748931543825448,0.251068456174552,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
ei_sigma_i,abs(Delta E_I) abs(Delta sigma_I)/V0,8.482847718099618e-12,43613,210488,1.768944824576124e-05,lower,0.5760534663247545,0.42394653367524554,0.5760534663247545,0.22996176051585815,0.7700382394841419,0.22996176051585815,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
er_minus_ei,abs(abs(Delta E_R)-abs(Delta E_I))/V0,5.94271416371003e-07,54712,199389,2.0739796581459302e-05,higher,0.4714250795929278,0.5285749204070722,0.5285749204070722,0.23284846667166528,0.7671515333283347,0.7671515333283347,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_s,abs(Delta sigma_S),8.888997802683938e-06,10665,243436,0.0001330110845687571,lower,0.5265800839644793,0.4734199160355207,0.5265800839644793,0.12761490590087726,0.8723850940991228,0.12761490590087726,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,0.8888997802683937,10665,243436,0.00013301108456889588,lower,0.5265800839644793,0.4734199160355207,0.5265800839644793,0.12761490590087726,0.8723850940991228,0.12761490590087726,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
es_over_sigma_s2,Delta E_S/(V0 abs(Delta sigma_S)^2),1322.3055724424858,239248,14853,0.00010914082260260471,higher,0.4765960042937808,0.5234039957062192,0.5234039957062192,0.8549898777836095,0.14501012221639048,0.14501012221639048,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_s2_over_es,abs(Delta sigma_S)^2/(Delta E_S/V0),0.0007562548482291111,14853,239248,0.00010914082260260471,lower,0.5234039957062192,0.4765960042937808,0.5234039957062192,0.14501012221639048,0.8549898777836095,0.14501012221639048,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
ei,abs(Delta E_I)/V0,6.056540980424019e-07,55441,198660,1.3448682164352022e-05,lower,0.5205432406955004,0.4794567593044996,0.5205432406955004,0.24177101297143286,0.7582289870285671,0.24177101297143286,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
ei_over_dg,abs(Delta E_I)/(V0 Delta gamma),0.060565409804240175,55441,198660,1.3448682164352022e-05,lower,0.5205432406955004,0.4794567593044996,0.5205432406955004,0.24177101297143286,0.7582289870285671,0.24177101297143286,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
ei_over_dg2,abs(Delta E_I)/(V0 Delta gamma^2),6056.540980424018,55441,198660,1.3448682163907932e-05,lower,0.5205432406955004,0.4794567593044996,0.5205432406955004,0.24177101297143286,0.7582289870285671,0.24177101297143286,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_i_over_sigma_s,abs(Delta sigma_I)/abs(Delta sigma_S),1.9112898943189698,246147,7954,6.187501364596226e-05,higher,0.48215201176814,0.51784798823186,0.51784798823186,0.8891054959886031,0.11089450401139686,0.11089450401139686,ok,1e-06,eps_x,4,254101,26674,24826,1848,0,227427
sigma_i,abs(Delta sigma_I),2.036177300000078e-05,182224,3719,4.265776976097868e-08,lower,0.9868345776547833,0.013165422345216596,0.9868345776547833,0.9914903675688453,0.00850963243115471,0.9914903675688453,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,2.036177300000078,182224,3719,4.265777003853444e-08,lower,0.9868345776547833,0.013165422345216596,0.9868345776547833,0.9914903675688453,0.00850963243115471,0.9914903675688453,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,3.919963521998134e-15,182224,3719,0.00015488373394312305,lower,0.9841165660278288,0.015883433972171172,0.9841165660278288,0.9713981798841744,0.028601820115825554,0.9713981798841744,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
er,abs(Delta E_R)/V0,2.777770311042733e-10,182224,3719,0.0009364421305733117,lower,0.9833617747440273,0.016638225255972697,0.9833617747440273,0.9700390024819762,0.029960997518023873,0.9700390024819762,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
er_over_dg,abs(Delta E_R)/(V0 Delta gamma),2.7777703110427328e-05,182224,3719,0.0009364421305724235,lower,0.9833617747440273,0.016638225255972697,0.9833617747440273,0.9700390024819762,0.029960997518023873,0.9700390024819762,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),2.7777703110427323,182224,3719,0.000936442130572368,lower,0.9833617747440273,0.016638225255972697,0.9833617747440273,0.9700390024819762,0.029960997518023873,0.9700390024819762,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,4.734709314259327e-15,182224,3719,1.4963443142335109e-06,lower,0.9822459963244946,0.01775400367550538,0.9822459963244946,0.968029783713509,0.03197021628649096,0.968029783713509,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
sigma_s,abs(Delta sigma_S),3.0556727895626745e-05,182224,3719,6.95452850862921e-09,lower,0.9809045863468149,0.019095413653185143,0.9809045863468149,0.989835716818343,0.010164283181657014,0.989835716818343,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,3.0556727895626743,182224,3719,6.954528619651512e-09,lower,0.9809045863468149,0.019095413653185143,0.9809045863468149,0.989835716818343,0.010164283181657014,0.989835716818343,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
er_over_es,abs(Delta E_R)/Delta E_S,0.0018518351799680626,137758,48185,3.181579215905117e-05,lower,0.8412641113153059,0.15873588868469415,0.8412641113153059,0.7141590828507268,0.2858409171492731,0.7141590828507268,ok,1e-05,eps_x,4,185943,16922,15236,1686,155,168866
