size,regime,feature,feature_label,sample_count,forward_only_pool_count,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,status
50,post,sigma_s2_over_es,abs(Delta sigma_S)^2/(Delta E_S/V0),6,4139,0.00045396138278194146,683,3456,0.004092882067276538,ok
100,pre,er,abs(Delta E_R)/V0,6,2755,3.575688794939865e-08,1864,891,1.014736562992943,ok
100,pre,es,Delta E_S/V0,6,2755,8.264962907518461e-07,1965,790,0.013145625245303272,ok
100,pre,ei,abs(Delta E_I)/V0,6,2755,8.263080423112758e-07,1965,790,0.011868738076853624,ok
100,pre,sigma_r,abs(Delta sigma_R),6,2755,2.792066181694837e-06,1902,853,0.011943474723929981,ok
100,pre,sigma_i,abs(Delta sigma_I),6,2755,2.4503042341205688e-06,1895,860,0.026629454480124437,ok
100,pre,sigma_s,abs(Delta sigma_S),6,2755,1.5060730498405604e-05,2065,690,0.008896754778351834,ok
100,pre,er_over_dg,abs(Delta E_R)/(V0 Delta gamma),6,2755,0.003575688794936289,1864,891,1.0147365629929432,ok
100,pre,er_over_dg2,abs(Delta E_R)/(V0 Delta gamma^2),6,2755,357.5688794932713,1864,891,1.014736562992943,ok
100,pre,es_over_dg,Delta E_S/(V0 Delta gamma),6,2755,0.08264962907510195,1965,790,0.013145625245302828,ok
100,pre,es_over_dg2,Delta E_S/(V0 Delta gamma^2),6,2755,8264.96290750193,1965,790,0.013145625245302828,ok
100,pre,ei_over_dg,abs(Delta E_I)/(V0 Delta gamma),6,2755,0.08263080423104494,1965,790,0.011868738076853402,ok
100,pre,ei_over_dg2,abs(Delta E_I)/(V0 Delta gamma^2),6,2755,8263.08042309623,1965,790,0.011868738076853624,ok
100,pre,sigma_r_over_dg,abs(Delta sigma_R)/Delta gamma,6,2755,0.2792066181692045,1902,853,0.011943474723929759,ok
100,pre,sigma_i_over_dg,abs(Delta sigma_I)/Delta gamma,6,2755,0.2450304234118118,1895,860,0.026629454480124437,ok
100,pre,sigma_s_over_dg,abs(Delta sigma_S)/Delta gamma,6,2755,1.5060730498390544,2065,690,0.008896754778351335,ok
100,pre,er_over_es,abs(Delta E_R)/Delta E_S,6,2755,0.0774609960129409,1785,970,0.017035104484530494,ok
100,pre,ei_over_es,abs(Delta E_I)/Delta E_S,6,2755,0.414215638056225,75,2680,0.005193522812533935,ok
100,pre,sigma_r_over_sigma_s,abs(Delta sigma_R)/abs(Delta sigma_S),6,2755,0.22094638269369243,1847,908,0.005076041216914184,ok
100,pre,sigma_i_over_sigma_s,abs(Delta sigma_I)/abs(Delta sigma_S),6,2755,0.1713418052608454,1754,1001,0.012072886978935493,ok
100,pre,sigma_r_over_sigma_i,abs(Delta sigma_R)/abs(Delta sigma_I),6,2755,2.8669791883531723,2662,93,0.022818604240519458,ok
100,pre,er_over_ei,abs(Delta E_R)/abs(Delta E_I),6,2755,0.07590504928730062,1763,992,0.009026659136865955,ok
100,pre,er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),6,2755,0.047141902323484086,1714,1041,0.005812821303477822,ok
100,pre,sigma_r_fraction,abs(Delta sigma_R)/(abs(Delta sigma_R)+abs(Delta sigma_I)),6,2755,0.6127484484085083,2473,282,0.0007164351741117958,ok
100,pre,er_plus_ei,(abs(Delta E_R)+abs(Delta E_I))/V0,6,2755,1.0236258671406021e-06,1904,851,0.0059631420877783725,ok
100,pre,er_minus_ei,abs(abs(Delta E_R)-abs(Delta E_I))/V0,6,2755,1.1017265102242448e-07,1891,864,0.009015407485515325,ok
100,pre,er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,6,2755,1.0402006179333967e-06,1906,849,0.0051639049082936594,ok
100,pre,er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,6,2755,1.9678335410531183e-13,1866,889,0.4061980672328449,ok
100,pre,er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,6,2755,7.430794792617203e-13,1869,886,0.15292268719217894,ok
100,pre,ei_sigma_i,abs(Delta E_I) abs(Delta sigma_I)/V0,6,2755,1.498191020389678e-12,1897,858,0.052834899566578386,ok
100,pre,es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,6,2755,1.1156217601178336e-11,1976,779,0.019701622236107497,ok
