t,W_less_mesh_locking,W_mesh_locking,W_double_triangle_edge_flip,W_single_triangle_edge_flip,abs_delta_W_mesh_locking,abs_delta_W_double_triangle_edge_flip,abs_delta_W_single_triangle_edge_flip
0.67300000000000004,1.2605769892000001,1.2656570027,1.2656570027,1.2602774654,0.0050800134999999802,0.0050800134999999802,0.00029952380000008993
0.67400000000000004,1.2625072233000001,1.2675836679000001,1.2675836679000001,1.2621934425000001,0.0050764446000000074,0.0050764446000000074,0.00031378079999999642
0.67500000000000004,1.2644280206,1.2694995524999999,1.2694995524999999,1.2641001966000001,0.0050715318999998704,0.0050715318999998704,0.00032782399999997658
0.67600000000000005,1.2663392236,1.2714044151999999,1.2714044151999999,1.2659975762,0.005065191599999963,0.005065191599999963,0.00034164739999997806
0.67700000000000005,1.2682406707,1.2732980045,1.2732980045,1.2678854256000001,0.0050573337999999524,0.0050573337999999524,0.00035524509999995679
0.67800000000000005,1.2701321954,1.2751800579000001,1.2751800579000001,1.2697635845999999,0.0050478625000001109,0.0050478625000001109,0.00036861080000005764
0.67900000000000005,1.2720136268,1.2770503012000001,1.2770503012000001,1.2716318889,0.0050366744000001074,0.0050366744000001074,0.00038173789999995655
0.68000000000000005,1.2738847886,1.2789084475000001,1.2789084475000001,1.273490169,0.0050236589000001164,0.0050236589000001164,0.00039461959999997909
0.68100000000000005,1.2757454994999999,1.2807541955999999,1.2807541955999999,1.2753382507,0.0050086960999999874,0.0050086960999999874,0.00040724879999998187
0.68200000000000005,1.2775955724000001,1.2825872300000001,1.2825872300000001,1.2771759546000001,0.0049916575999999768,0.0049916575999999768,0.00041961779999999393
0.68300000000000005,1.2794348146000001,1.2844072188,1.2844072188,1.2790030955,0.0049724041999998914,0.0049724041999998914,0.00043171910000006086
0.68400000000000005,1.2812630269,1.2862138122,1.2862138122,1.2808196702000001,0.0049507852999999269,0.0049507852999999269,0.00044335669999995275
0.68500000000000005,1.2830800037000001,1.2880066418,1.2880066418,1.2826251507999999,0.004926638099999936,0.004926638099999936,0.00045485290000013556
0.68600000000000005,1.2848855323999999,1.2897853177,1.2897853177,1.2844194776,0.0048997853000001257,0.0048997853000001257,0.0004660547999999487
0.68700000000000006,1.2866793931,1.2915494259,1.2915494259,1.2862024400000001,0.0048700327999999793,0.0048700327999999793,0.00047695309999995494
0.68799999999999994,1.2884613579999999,1.2932985236000001,1.2932985236000001,1.2879738188000001,0.0048371656000001373,0.0048371656000001373,0.00048753919999988682
0.68899999999999995,1.2902311911,1.2950321393999999,1.2950321393999999,1.2897333869000001,0.0048009482999999964,0.0048009482999999964,0.00049780419999989611
0.68999999999999995,1.2919886473,1.2967497697000001,1.2967497697000001,1.2914809088000001,0.0047611224000001506,0.0047611224000001506,0.00050773849999985465
0.69099999999999995,1.2937334721,1.2984508755999999,1.2984508755999999,1.29321614,0.0047174034999999392,0.0047174034999999392,0.00051733210000004526
0.69199999999999995,1.2954654004999999,1.3001348778999999,1.3001348778999999,1.2949388269,0.0046694774000000105,0.0046694774000000105,0.00052657359999996878
0.69299999999999995,1.2971841547,1.3018011511000001,1.3018011511000001,1.2966487054,0.0046169964000000174,0.0046169964000000174,0.00053544930000004598
0.69399999999999995,1.2988894440000001,1.3034490152,1.3034490152,1.298345501,0.0045595711999999455,0.0045595711999999455,0.00054394300000004669
0.69499999999999995,1.3005809641999999,1.3050777280000001,1.3050777280000001,1.3000289272000001,0.0044967638000001919,0.0044967638000001919,0.00055203699999983868
0.69599999999999995,1.3022583971999999,1.3066864743,1.3066864743,1.3016986852000001,0.0044280771000000385,0.0044280771000000385,0.00055971199999982346
0.69699999999999995,1.3039214100000001,1.3082743573,1.3082743573,1.3028385659999999,0.0043529472999999097,0.0043529472999999097,0.0010828440000001383
0.69799999999999995,1.3055696531000001,1.3098403851,1.3098403851,1.3044997419,0.0042707319999999438,0.0042707319999999438,0.0010699112000001065
0.69899999999999995,1.3072027593,1.3113834521000001,1.3113834521000001,1.306146123,0.0041806928000001076,0.0041806928000001076,0.001056636299999969
0.69999999999999996,1.3088203426,1.312902316,1.312902316,1.3077773311000001,0.0040819733999999386,0.0040819733999999386,0.0010430114999999684
0.70099999999999996,1.3104219961000001,1.3143955562,1.3143955562,1.3093929669,0.0039735600999999399,0.0039735600999999399,0.0010290292000001422
0.70199999999999996,1.3120072900999999,1.3158615185,1.3158615185,1.3109926067,0.0038542284000000482,0.0038542284000000482,0.0010146833999999938
0.70299999999999996,1.3135757698999999,1.3172982677,1.3172982677,1.3125758010999999,0.003722497800000113,0.003722497800000113,0.0009999687999999729
0.70399999999999996,1.3151269535000001,1.3187035037999999,1.3187035037999999,1.3141420725999999,0.0035765502999998144,0.0035765502999998144,0.00098488090000015127
0.70499999999999996,1.316660328,1.3200744342999999,1.3200744342999999,1.3156909126,0.0034141062999999416,0.0034141062999999416,0.00096941539999995108
0.70599999999999996,1.3181753467999999,1.3214075714,1.3214075714,1.3172217786,0.0032322246000000554,0.0032322246000000554,0.00095356819999992126
0.70699999999999996,1.3196714252999999,1.3226983832000001,1.3226983832000001,1.31873409,0.0030269579000001823,0.0030269579000001823,0.00093733529999995291
0.70799999999999996,1.3211479362,1.3239405274,1.3239405274,1.3202272234000001,0.002792591199999972,0.002792591199999972,0.00092071279999994537
0.70899999999999996,1.3226042013999999,1.3251242170999999,1.3251242170999999,1.3217006492000001,0.0025200157000000445,0.0025200157000000445,0.00090355219999982417
0.70999999999999996,1.3240394866,1.3262309050000001,1.3262309050000001,1.3231533985999999,0.0021914184000000336,0.0021914184000000336,0.00088608800000011811
0.71099999999999997,1.3254529942,0.34584743580999999,0.34584743580999999,1.3245847804999999,0.97960555838999996,0.97960555838999996,0.00086821370000000897
0.71199999999999997,1.3268438534,0.3438254496,0.3438254496,1.3259939261,0.98301840380000005,0.98301840380000005,0.00084992729999999739
0.71299999999999997,1.3282111019,0.34180754482999998,0.34180754482999998,1.3273798713,0.98640355707000005,0.98640355707000005,0.00083123060000001026
0.71399999999999997,1.3295536637000001,0.33979373647,0.33979373647,1.3287415477,0.98975992723000006,0.98975992723000006,0.00081211600000008488
0.71499999999999997,1.3308703373999999,0.33778403953000002,0.33778403953000002,1.3300777639000001,0.99308629786999991,0.99308629786999991,0.00079257349999983795
0.71599999999999997,1.3321597698000001,0.33577846875,0.33577846875,1.3313871789,0.99638130105,0.99638130105,0.00077259090000003638
0.71699999999999997,1.3334204206,0.33377703905,0.33377703905,1.3327992741000001,0.99964338154999999,0.99964338154999999,0.00062114649999989169
0.71799999999999997,1.3346505156999999,0.33177976511000001,0.33177976511000001,1.3340446115,1.0028707505899999,1.0028707505899999,0.00060590419999995149
0.71899999999999997,1.3358479696000001,0.32978666167999998,0.32978666167999998,1.3352570511999999,1.00606130792,1.00606130792,0.00059091840000013995
0.71999999999999997,1.3370102881000001,0.32779774337000001,0.32779774337000001,1.3364339679999999,1.00921254473,1.00921254473,0.00057632010000019385
0.72099999999999997,1.3381344246,0.32581302479000002,0.32581302479000002,1.3375721253999999,1.01232139981,1.01232139981,0.0005622992000000604
0.72199999999999998,1.3392165291,0.32383252048,0.32383252048,1.3386673927999999,1.0153840086199999,1.0153840086199999,0.00054913630000008595
0.72299999999999998,1.3402515348999999,0.32185624495999998,0.32185624495999998,1.3399084041,1.0183952899399999,1.0183952899399999,0.00034313079999992446
0.72399999999999998,1.3412322999999999,0.31988421262,0.31988421262,1.3409120537000001,1.0213480873799998,1.0213480873799998,0.00032024629999982679
0.72499999999999998,1.3421474278000001,0.31791643791000002,0.31791643791000002,1.3418490943000001,1.0242309898899999,1.0242309898899999,0.00029833349999996983
0.72599999999999998,1.3429737708,0.31595293516,0.31595293516,1.3427344005999999,1.0270208356400001,1.0270208356400001,0.00023937020000008857
0.72699999999999998,0.32175199965000001,0.31399371868999998,0.31399371868999998,0.32238709019,0.0077582809600000302,0.0077582809600000302,0.00063509053999999399
0.72799999999999998,0.31971264631000001,0.31203880279000001,0.31203880279000001,0.32035037319999998,0.007673843520000001,0.007673843520000001,0.00063772688999996774
0.72899999999999998,0.31767741334999999,0.31008820161,0.31008820161,0.31831772458000002,0.0075892117399999903,0.0075892117399999903,0.00064031123000002355
0.72999999999999998,0.31564632334999998,0.30814192940000001,0.30814192940000001,0.31628916632999998,0.0075043939499999657,0.0075043939499999657,0.0006428429800000024
0.73099999999999998,0.31361939892000001,0.30620000026999999,0.30620000026999999,0.31426472053999999,0.0074193986500000197,0.0074193986500000197,0.00064532161999997228
0.73199999999999998,0.31159666261000002,0.30426242834,0.30426242834,0.31224440933999997,0.0073342342700000174,0.0073342342700000174,0.00064774672999995397
0.73299999999999998,0.30957813721999999,0.30232922766999998,0.30232922766999998,0.31022825488,0.0072489095500000156,0.0072489095500000156,0.0006501176600000047
0.73399999999999999,0.30756384534999998,0.30040041227999997,0.30040041227999997,0.30821627940000001,0.0071634330700000026,0.0071634330700000026,0.00065243405000003918
0.73499999999999999,0.30555380977000002,0.29847599619999998,0.29847599619999998,0.30620850515999998,0.0070778135700000355,0.0070778135700000355,0.00065469538999995969
0.73599999999999999,0.30354805322,0.29655599332999999,0.29655599332999999,0.30420495448000001,0.006992059890000013,0.006992059890000013,0.00065690126000000904
0.73699999999999999,0.30154659852999999,0.29464041766999999,0.29464041766999999,0.30220564973000003,0.0069061808599999996,0.0069061808599999996,0.00065905120000003814
0.73799999999999999,0.29954946854999998,0.29272928310000002,0.29272928310000002,0.30021061333999999,0.0068201854499999603,0.0068201854499999603,0.00066114479000001225
0.73899999999999999,0.29755668604000002,0.29082260347,0.29082260347,0.29821986766000003,0.0067340825700000218,0.0067340825700000218,0.00066318162000000846
0.73999999999999999,0.29556827401000002,0.28892039262000002,0.28892039262000002,0.29623343532000002,0.0066478813899999989,0.0066478813899999989,0.00066516130999999534
0.74099999999999999,0.29358425531999999,0.28702266443000002,0.28702266443000002,0.29425133884999999,0.0065615908899999686,0.0065615908899999686,0.00066708353000000109
0.74199999999999999,0.29160465296999999,0.28512943261000001,0.28512943261000001,0.29227360080999998,0.006475220359999978,0.006475220359999978,0.0006689478399999893
0.74299999999999999,0.28962948989999998,0.28324071098999998,0.28324071098999998,0.29030024390999998,0.0063887789100000036,0.0063887789100000036,0.00067075400999999646
0.74399999999999999,0.28765878917999999,0.2813565133,0.2813565133,0.28833129081999997,0.0063022758799999856,0.0063022758799999856,0.00067250163999998946
0.745,0.28569257386000002,0.27947685328999999,0.27947685328999999,0.28636676430000002,0.0062157205700000273,0.0062157205700000273,0.00067419043999999984
0.746,0.28373086706,0.27760174463999998,0.27760174463999998,0.28440668712,0.0061291224200000216,0.0061291224200000216,0.00067582005999999861
