scenario,window,window_start,reference_shear,reconnection,local_load,absolute_load,energy_mean,median_max_abs_eigenvalue,median_min_abs_eigenvalue,median_condition,p90_condition
current geometry,5-6,5.0,0.0,with reconnection,0.8,5.8,0.025144,404.0927528100626,0.0018572966899199433,217570.38334434328,11683125.815242125
current geometry,5-6,5.0,0.0,with reconnection,0.9,5.9,0.0097604,403.7983994900062,0.001977222618788456,204225.05571852752,12978078.397803355
current geometry,10-11,10.0,0.0,with reconnection,0.1,10.1,0.0097604,1940.1376043779792,0.00036966715990815216,5248336.381462791,65401144.55812221
current geometry,10-11,10.0,0.0,with reconnection,0.2,10.2,0.025144,1885.8293187058189,0.0003666816346776053,5142960.924028503,71302071.0131495
current geometry,10-11,10.0,0.0,with reconnection,0.3,10.3,0.036803,1816.3866396753986,0.00017574388432492472,10335418.763802702,162229774.86536548
current geometry,10-11,10.0,0.0,with reconnection,0.4,10.4,0.043232999999999994,1745.2330558175765,2.9876135060854177e-05,58415623.4487072,1051298844.2160873
current geometry,10-11,10.0,0.0,with reconnection,0.5,10.5,0.04521,1688.4205660830214,2.0419508313098656e-05,82686641.62691604,1722096891.5201383
current geometry,10-11,10.0,0.0,with reconnection,0.6,10.6,0.043232999999999994,1656.1179308399846,3.205587394087371e-05,51663477.773048826,1245121101.3184702
current geometry,10-11,10.0,0.0,with reconnection,0.7,10.7,0.036803,1648.5513997553035,0.00020126878612313238,8190795.162578023,226175629.77568677
current geometry,10-11,10.0,0.0,with reconnection,0.8,10.8,0.025144,1655.765849852041,0.0004448387278838237,3722171.0837291777,115992656.07846965
current geometry,10-11,10.0,0.0,with reconnection,0.9,10.9,0.0097604,1662.0947082978237,0.00046510250817766613,3573609.4281884925,122452941.66252589
current geometry,0-1,0.0,0.0,without reconnection,0.1,0.1,0.0097604,30.60794538980791,0.019988506613751837,1531.2772475333418,1531.2772475333418
current geometry,0-1,0.0,0.0,without reconnection,0.2,0.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605,1449.9950118755605
current geometry,0-1,0.0,0.0,without reconnection,0.3,0.3,0.036803,28.46483434895451,0.009688645057724979,2937.958215969409,3965.3902560856154
current geometry,0-1,0.0,0.0,without reconnection,0.4,0.4,0.043232999999999994,28.142913233590086,0.0016515194555077215,17040.61864953216,42392.93920022676
current geometry,0-1,0.0,0.0,without reconnection,0.5,0.5,0.04521,28.037984734443768,0.0011116370654553635,25222.247085615552,124634.23762756104
current geometry,0-1,0.0,0.0,without reconnection,0.6,0.6,0.043232999999999994,28.14291323359008,0.0016515194555095248,17040.618649513555,158799.91200028744
current geometry,0-1,0.0,0.0,without reconnection,0.7,0.7,0.036803,28.46483434895449,0.009688645057728441,2937.958215968357,47550.34613631947
current geometry,0-1,0.0,0.0,without reconnection,0.8,0.8,0.025144,29.098057336056797,0.02006769478359692,1449.9950118755633,37673.644428435255
current geometry,0-1,0.0,0.0,without reconnection,0.9,0.9,0.0097604,30.6079453898079,0.019988506613751345,1531.2772475333786,58781.48349362768
current geometry,5-6,5.0,0.0,without reconnection,0.1,5.1,0.0097604,403.79839949000404,0.0019772226187906726,204225.05571829792,65401144.52133735
current geometry,5-6,5.0,0.0,without reconnection,0.2,5.2,0.025144,404.09275281006245,0.0018572966899279809,217570.383343402,71302070.80806534
current geometry,5-6,5.0,0.0,without reconnection,0.3,5.3,0.036803,409.205710270836,0.0008141431050895146,502621.3545416491,162229772.63993204
current geometry,5-6,5.0,0.0,without reconnection,0.4,5.4,0.043232999999999994,420.9587179187206,0.00012551710599271622,3353795.600921112,1051298848.2965503
current geometry,5-6,5.0,0.0,without reconnection,0.5,5.5,0.04521,440.0757030502279,7.739948560293564e-05,5685770.3849331075,1722096997.7890704
current geometry,5-6,5.0,0.0,without reconnection,0.6,5.6,0.043232999999999994,464.9972710368192,0.00010983196060522404,4233715.472932221,1245121118.4315708
