label,load,energy_mean,median_max_abs_eigenvalue,median_condition
"simple shear, edge flip",9.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, edge flip",9.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, edge flip",9.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, edge flip",9.6,0.043232999999999994,28.14291323359008,17040.618649513555
"simple shear, edge flip",9.7,0.036803,28.46483434895449,2937.958215968357
"simple shear, edge flip",9.8,0.025144,29.098057336056797,1449.9950118755633
"simple shear, edge flip",9.9,0.0097604,30.60794538980789,1531.2772475333786
"simple shear, edge flip",10.0,-4.4409e-16,36.06513600752701,1.0387813814552098e+16
"simple shear, edge flip",10.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, edge flip",10.2,0.025144,29.098057336056797,1449.9950118755605
"simple shear, edge flip",10.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, edge flip",10.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, edge flip",10.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, edge flip",10.6,0.043232999999999994,28.14291323359008,17040.618649513555
"simple shear, edge flip",10.7,0.036803,28.46483434895449,2937.958215968357
"simple shear, edge flip",10.8,0.025144,29.098057336056797,1449.9950118755633
"simple shear, edge flip",10.9,0.0097604,30.60794538980789,1531.2772475333786
"simple shear, edge flip",11.0,-1.4802999999999999e-16,36.06513600752701,1.0387813814552098e+16
"simple shear, edge flip",11.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, edge flip",11.2,0.025144,29.098057336056797,1449.9950118755605
"simple shear, edge flip",11.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, edge flip",11.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, edge flip",11.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, no reconnection",0.1,0.0097604,30.60794538980791,1531.2772475333418
"simple shear, no reconnection",0.2,0.025144,29.098057336056797,1449.9950118755605
"simple shear, no reconnection",0.3,0.036803,28.46483434895451,2937.958215969409
"simple shear, no reconnection",0.4,0.043232999999999994,28.142913233590075,17040.618649528067
"simple shear, no reconnection",0.5,0.04521,28.037984734443768,25222.247085615552
"simple shear, no reconnection",0.6,0.043232999999999994,28.14291323359008,17040.618649513555
"simple shear, no reconnection",0.7,0.036803,28.46483434895449,2937.958215968357
"simple shear, no reconnection",0.8,0.025144,29.098057336056797,1449.9950118755633
"simple shear, no reconnection",0.9,0.0097604,30.60794538980789,1531.2772475333786
"simple shear, no reconnection",1.0,-2.7138333333333336e-16,36.06513600752701,1.0387813814552098e+16
"simple shear, no reconnection",1.1,0.0097604,34.749189785381944,1602.2971041569863
"simple shear, no reconnection",1.2,0.025144,35.43689870081084,1779.8916910562982
"simple shear, no reconnection",1.3,0.036803,37.21072283756112,4441.632232384345
"simple shear, no reconnection",1.4,0.043232999999999994,39.7913055485742,32179.420074705966
"simple shear, no reconnection",1.5,0.04521,42.956697165450564,59338.09347395878
"simple shear, no reconnection",1.6,0.043232999999999994,46.49932285630224,48146.24023601701
"simple shear, no reconnection",1.7,0.036803,50.322862068827654,9596.366985066403
"simple shear, no reconnection",1.8,0.025144,54.78417122871414,5336.288589566373
"simple shear, no reconnection",1.9,0.0097604,61.98710352812728,6297.1166958323665
"simple shear, no reconnection",2.0,-2.097072222222222e-16,80.94069729691441,6645247476750383.0
"simple shear, no reconnection",2.1,0.0097604,73.89973286706467,6632.152173741823
"simple shear, no reconnection",2.2,0.025144,73.90636082827535,7291.586490908342
"simple shear, no reconnection",2.3,0.036803,77.590079985207,18574.04892189428
"simple shear, no reconnection",2.4,0.043232999999999994,83.7096568037839,137778.97596360132
