integer_shear,reconnection,local_load,absolute_load,kappa_geo,kappa_mat,kappa_tan
5,no reconnection,0.5,5.5,952.0822830040087,6205503.157208651,5685770.3849331075
5,no reconnection,0.6,5.6,1025.4891581889528,4576731.347586774,4233715.472932221
5,no reconnection,0.7,5.7,1103.151226839344,839203.2143139194,782374.5865644844
5,no reconnection,0.8,5.8,1185.2332896176154,429912.7954231947,403357.9632628153
5,no reconnection,0.9,5.9,1271.9033471099574,450231.1363414283,425017.7655352538
10,edge flip,0.1,10.1,2.457159315054012,1164.8901933429468,1531.2772475333418
10,edge flip,0.2,10.2,2.0187861717631614,1229.0593260505743,1449.9950118755605
10,edge flip,0.3,10.3,1.6751839740415164,2786.716182296077,2937.958215969409
10,edge flip,0.4,10.4,1.4316277181225519,18210.028828208266,17040.618649528067
10,edge flip,0.5,10.5,1.3333333333333333,30498.295842005606,25222.247085615552
10,edge flip,0.6,10.6,1.4316277181225525,22952.189543396187,17040.618649513555
10,edge flip,0.7,10.7,1.6751839740415173,4322.32969318408,2937.958215968357
10,edge flip,0.8,10.8,2.0187861717631614,2298.58478440889,1449.9950118755633
10,edge flip,0.9,10.9,2.457159315054011,2614.943664247957,1531.2772475333786
10,no reconnection,0.1,10.1,11756.784048285374,3294288.521215076,3573609.428293466
10,no reconnection,0.2,10.2,12245.074051671652,3426750.3013470895,3722171.0838493323
10,no reconnection,0.3,10.3,12748.512054884317,7522273.125426432,8190795.159732265
10,no reconnection,0.4,10.4,13267.41005795913,47309948.62828058,51663477.950862385
10,no reconnection,0.5,10.5,13802.083260890602,75488300.58830889,82686641.75657783
10,no reconnection,0.6,10.6,14352.850063664211,53177646.960443944,58415623.57817814
10,no reconnection,0.7,10.7,14920.032066316104,9385919.74592219,10335418.759548247
10,no reconnection,0.8,10.8,15503.954068837244,4661297.50773635,5142960.923237675
10,no reconnection,0.9,10.9,16104.944071243277,4749088.725740614,5248336.379254692
