scenario,integer_shear,reconnection,local_load,absolute_load,energy,max_abs_eigenvalue,min_abs_eigenvalue,tangent_condition
distorted current,5,no reconnection,0.9,5.9,0.0097604,542.6267399660719,0.0012767154316072062,425017.7655352538
distorted current,10,edge flip,0.1,10.1,0.0097604,30.60794538980791,0.019988506613751837,1531.2772475333418
distorted current,10,edge flip,0.2,10.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605
distorted current,10,edge flip,0.3,10.3,0.036803,28.46483434895451,0.009688645057724979,2937.958215969409
distorted current,10,edge flip,0.4,10.4,0.043233,28.142913233590075,0.0016515194555081182,17040.618649528067
distorted current,10,edge flip,0.5,10.5,0.04521,28.037984734443768,0.0011116370654553635,25222.247085615552
distorted current,10,edge flip,0.6,10.6,0.043233,28.14291323359008,0.0016515194555095248,17040.618649513555
distorted current,10,edge flip,0.7,10.7,0.036803,28.46483434895449,0.009688645057728441,2937.958215968357
distorted current,10,edge flip,0.8,10.8,0.025144,29.098057336056797,0.02006769478359692,1449.9950118755633
distorted current,10,edge flip,0.9,10.9,0.0097604,30.60794538980789,0.019988506613751345,1531.2772475333786
distorted current,10,no reconnection,0.1,10.1,0.0097604,1662.0947082978655,0.00046510250816401576,3573609.428293466
distorted current,10,no reconnection,0.2,10.2,0.025144,1655.7658498520595,0.000444838727869469,3722171.0838493323
distorted current,10,no reconnection,0.3,10.3,0.036803,1648.5513997552966,0.00020126878619305908,8190795.159732265
distorted current,10,no reconnection,0.4,10.4,0.043233,1656.1179308399437,3.205587383054414e-05,51663477.950862385
distorted current,10,no reconnection,0.5,10.5,0.04521,1688.4205660830207,2.0419508281078602e-05,82686641.75657783
distorted current,10,no reconnection,0.6,10.6,0.043233,1745.2330558176027,2.98761349946379e-05,58415623.57817814
distorted current,10,no reconnection,0.7,10.7,0.036803,1816.3866396754468,0.0001757438843972723,10335418.759548247
distorted current,10,no reconnection,0.8,10.8,0.025144,1885.8293187057798,0.00036668163473398195,5142960.923237675
distorted current,10,no reconnection,0.9,10.9,0.0097604,1940.1376043779417,0.0003696671600636729,5248336.379254692
distorted reference,0,edge flip,0.1,0.1,0.0097604,30.60794538980791,0.019988506613751837,1531.2772475333418
distorted reference,0,edge flip,0.2,0.2,0.025144,29.098057336056797,0.02006769478359696,1449.9950118755605
distorted reference,0,edge flip,0.3,0.3,0.036803,28.46483434895451,0.009688645057724979,2937.958215969409
distorted reference,0,edge flip,0.4,0.4,0.043233,28.142913233590075,0.0016515194555081182,17040.618649528067
distorted reference,0,edge flip,0.5,0.5,0.04521,28.037984734443768,0.0011116370654553635,25222.247085615552
distorted reference,0,edge flip,0.6,0.6,0.043233,28.14291323359008,0.0016515194555095248,17040.618649513555
distorted reference,0,edge flip,0.7,0.7,0.036803,28.46483434895449,0.009688645057728441,2937.958215968357
distorted reference,0,edge flip,0.8,0.8,0.025144,29.098057336056797,0.02006769478359692,1449.9950118755633
distorted reference,0,edge flip,0.9,0.9,0.0097604,30.60794538980789,0.019988506613751345,1531.2772475333786
