setting,seed,post_yield,category,category_label,count,q10,median,q90
1e-05,2,False,no_m3,no $m_3$ change (elastic candidate),35918,0.0908591246143,0.20937817796,0.354870295098
1e-05,2,False,closing_m3,"closing, $m_3$ change",3083,0.08299414841279999,0.19159792187,0.33145231256400004
1e-05,2,False,nonclosing_m3,"non-closing, $m_3$ change",200,0.0922067957826,0.18836315205499998,0.33438777287199994
1e-05,2,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,2,True,no_m3,no $m_3$ change (elastic candidate),40075,0.325129497522,0.54606228554,0.65304996069
1e-05,2,True,closing_m3,"closing, $m_3$ change",6427,0.270262809428,0.49679027906,0.627320567302
1e-05,2,True,nonclosing_m3,"non-closing, $m_3$ change",297,0.246433200164,0.50825725232,0.623201292254
1e-05,2,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,3,False,no_m3,no $m_3$ change (elastic candidate),45472,0.10200647534200001,0.24981159626,0.460178541774
1e-05,3,False,closing_m3,"closing, $m_3$ change",4152,0.09750873115620001,0.22914601141500002,0.43174950060899997
1e-05,3,False,nonclosing_m3,"non-closing, $m_3$ change",240,0.08882727273260001,0.224793957135,0.43412021885999996
1e-05,3,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
1e-05,3,True,no_m3,no $m_3$ change (elastic candidate),31384,0.39397904964700003,0.560277833035,0.6251144268700001
1e-05,3,True,closing_m3,"closing, $m_3$ change",4528,0.320700652529,0.515789121435,0.5946740110969999
1e-05,3,True,nonclosing_m3,"non-closing, $m_3$ change",224,0.292032545265,0.5385207585,0.614877467465
1e-05,3,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-05,0,False,no_m3,no $m_3$ change (elastic candidate),5441,0.083259056665,0.23737291831,0.35830967469
5e-05,0,False,closing_m3,"closing, $m_3$ change",2760,0.0782710441839,0.231084240445,0.34623512615999996
5e-05,0,False,nonclosing_m3,"non-closing, $m_3$ change",219,0.0836415564368,0.23387424971,0.3671230821400001
5e-05,0,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-05,0,True,no_m3,no $m_3$ change (elastic candidate),4439,0.198108223922,0.42337065562,0.533222299558
5e-05,0,True,closing_m3,"closing, $m_3$ change",4078,0.17524553086,0.402706890655,0.511140087964
5e-05,0,True,nonclosing_m3,"non-closing, $m_3$ change",263,0.185977854538,0.41157983127,0.515591947768
5e-05,0,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-05,1,False,no_m3,no $m_3$ change (elastic candidate),5144,0.09715263723660002,0.232357967265,0.37115810303700003
5e-05,1,False,closing_m3,"closing, $m_3$ change",2729,0.0908544279634,0.21851515191,0.36294395907200006
5e-05,1,False,nonclosing_m3,"non-closing, $m_3$ change",210,0.075955841868,0.21105887295,0.35581725237699996
5e-05,1,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-05,1,True,no_m3,no $m_3$ change (elastic candidate),4649,0.179896114204,0.3524914467,0.5771708482
5e-05,1,True,closing_m3,"closing, $m_3$ change",4222,0.17349617346300003,0.353242101295,0.559096180384
5e-05,1,True,nonclosing_m3,"non-closing, $m_3$ change",246,0.16720443761499998,0.332023751985,0.564112907825
5e-05,1,True,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-05,2,False,no_m3,no $m_3$ change (elastic candidate),6099,0.100743269152,0.20937564049,0.331799979788
5e-05,2,False,closing_m3,"closing, $m_3$ change",2766,0.09391310432899999,0.19708864095,0.3239291403
5e-05,2,False,nonclosing_m3,"non-closing, $m_3$ change",204,0.0862262184208,0.20218945246,0.333546357257
5e-05,2,False,unrecorded_m3,"$m_3$ change, no recorded reverse cycle",0,,,
5e-05,2,True,no_m3,no $m_3$ change (elastic candidate),4285,0.16769897333000003,0.34819876847,0.459517879896
5e-05,2,True,closing_m3,"closing, $m_3$ change",3640,0.157030050578,0.3328859823,0.445391104124
5e-05,2,True,nonclosing_m3,"non-closing, $m_3$ change",206,0.140943111405,0.327276994445,0.44169994974
