target_width,actual_width,delta_gamma,seed,gamma_center,rate
0.02,0.01999999999999999,1e-06,3,0.19,600.0000000000003
0.02,0.020000000000000018,1e-06,3,0.21000000000000002,549.9999999999995
0.02,0.01999999999999999,1e-06,3,0.23000000000000004,600.0000000000003
0.02,0.01999999999999999,1e-06,3,0.25,550.0000000000002
0.02,0.020000000000000018,1e-06,3,0.27,599.9999999999994
0.02,0.020000000000000018,1e-06,3,0.29000000000000004,349.9999999999997
0.02,0.019999999999999962,1e-06,3,0.31000000000000005,900.0000000000017
0.02,0.020000000000000018,1e-06,3,0.33,649.9999999999994
0.02,0.019999999999999962,1e-06,3,0.35,500.00000000000097
0.02,0.020000000000000018,1e-06,3,0.37,499.99999999999955
0.02,0.020000000000000018,1e-06,3,0.39,699.9999999999994
0.02,0.020000000000000018,1e-06,3,0.41000000000000003,449.9999999999996
0.02,0.019999999999999962,1e-06,3,0.43000000000000005,700.0000000000014
0.02,0.020000000000000018,1e-06,3,0.45,499.99999999999955
0.02,0.020000000000000018,1e-06,3,0.47000000000000003,499.99999999999955
0.02,0.019999999999999962,1e-06,3,0.49,900.0000000000017
0.02,0.020000000000000018,1e-06,3,0.51,549.9999999999995
0.02,0.020000000000000018,1e-06,3,0.53,449.9999999999996
0.02,0.020000000000000018,1e-06,3,0.55,499.99999999999955
0.02,0.020000000000000018,1e-06,3,0.5700000000000001,499.99999999999955
0.02,0.020000000000000018,1e-06,3,0.5900000000000001,849.9999999999992
0.02,0.019999999999999907,1e-06,3,0.6100000000000001,600.0000000000028
0.02,0.020000000000000018,1e-06,3,0.63,499.99999999999955
0.02,0.020000000000000018,1e-06,3,0.65,349.9999999999997
0.02,0.020000000000000018,1e-06,3,0.67,499.99999999999955
0.02,0.020000000000000018,1e-06,3,0.6900000000000001,499.99999999999955
0.02,0.019999999999999907,1e-06,3,0.71,450.0000000000021
0.02,0.020000000000000018,1e-06,3,0.73,599.9999999999994
0.02,0.020000000000000018,1e-06,3,0.75,449.9999999999996
0.02,0.020000000000000018,1e-06,3,0.77,749.9999999999993
0.02,0.020000000000000018,1e-06,3,0.79,499.99999999999955
0.02,0.020000000000000018,1e-06,3,0.81,599.9999999999994
0.02,0.020000000000000018,1e-06,3,0.8300000000000001,599.9999999999994
0.02,0.019999999999999907,1e-06,3,0.8500000000000001,550.0000000000026
0.02,0.020000000000000018,1e-06,3,0.87,449.9999999999996
0.02,0.020000000000000018,1e-06,3,0.89,349.9999999999997
0.02,0.020000000000000018,1e-06,3,0.91,649.9999999999994
0.02,0.020000000000000018,1e-06,3,0.93,449.9999999999996
0.02,0.020000000000000018,1e-06,3,0.9500000000000001,649.9999999999994
0.02,0.019999999999999907,1e-06,3,0.97,900.0000000000042
0.02,0.020000000000000018,1e-06,3,0.99,499.99999999999955
0.02,0.01999999999999999,5e-06,0,0.15000000000000002,500.0000000000002
0.02,0.020000000000000018,5e-06,0,0.17,399.99999999999966
0.02,0.01999999999999999,5e-06,0,0.19,600.0000000000003
0.02,0.020000000000000018,5e-06,0,0.21000000000000002,799.9999999999993
0.02,0.01999999999999999,5e-06,0,0.23000000000000004,750.0000000000003
0.02,0.01999999999999999,5e-06,0,0.25,900.0000000000005
